dataset,model,batch_size,mode,removed_count,removed_blocks,activation_peak_mb,saved_activation_mb,saved_activation_pct,latency_ms,saved_latency_ms,speedup
imagenet100,resnet50,128,full,0,,1274.5,0.0,0.0,54.3931,0.0,1.0
imagenet100,resnet50,128,plain,1,layer4.2,1274.5,0.0,0.0,54.3009,0.0922,1.0017
imagenet100,resnet50,128,plain,2,"layer4.1,layer4.2",1274.5,0.0,0.0,54.1535,0.2396,1.0044
imagenet100,resnet50,128,plain,3,"layer4.0,layer4.1,layer4.2",1274.5,0.0,0.0,53.2534,1.1397,1.0214
imagenet100,resnet50,128,plain,4,"layer3.5,layer4.0,layer4.1,layer4.2",1274.5,0.0,0.0,52.9785,1.4146,1.0267
imagenet100,resnet50,128,plain,5,"layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1274.5,0.0,0.0,52.6137,1.7794,1.0338
imagenet100,resnet50,128,plain,6,"layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1274.5,0.0,0.0,52.2658,2.1273,1.0407
imagenet100,resnet50,128,plain,7,"layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1274.5,0.0,0.0,51.9508,2.4423,1.047
imagenet100,resnet50,128,plain,8,"layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1274.5,0.0,0.0,51.6039,2.7892,1.054
imagenet100,resnet50,128,plain,9,"layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1274.5,0.0,0.0,50.2726,4.1205,1.082
imagenet100,resnet50,128,plain,10,"layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1274.5,0.0,0.0,49.6035,4.7896,1.0966
imagenet100,resnet50,128,plain,11,"layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1274.5,0.0,0.0,48.9545,5.4386,1.1111
imagenet100,resnet50,128,plain,12,"layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1274.5,0.0,0.0,48.2925,6.1006,1.1263
imagenet100,resnet50,128,plain,13,"layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1274.0,0.5,0.04,45.9489,8.4442,1.1838
imagenet100,resnet50,128,plain,14,"layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1274.0,0.5,0.04,44.6389,9.7542,1.2185
imagenet100,resnet50,128,plain,15,"layer1.1,layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1274.0,0.5,0.04,43.3121,11.081,1.2558
imagenet100,resnet50,128,plain,16,"layer1.0,layer1.1,layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1274.0,0.5,0.04,40.5393,13.8538,1.3417
