dataset,model,block,bandwidth_mbps,dag_bytes,chain_bytes,saved_bytes,size_saved_pct,dag_serialize_ms,chain_serialize_ms,saved_serialize_ms,dag_transfer_ms,chain_transfer_ms,saved_transfer_ms,dag_total_ms,chain_total_ms,saved_total_ms,total_saved_pct
imagenet100,resnet50,layer1.0,1.0,6422528,3211264,3211264,50.0,3.3877,1.682,1.7057,51382.224,25692.112,25690.112,51385.6117,25693.794,25691.8177,50.0
imagenet100,resnet50,layer1.0,10.0,6422528,3211264,3211264,50.0,3.3877,1.682,1.7057,5140.0224,2571.0112,2569.0112,5143.4101,2572.6932,2570.7169,49.98
imagenet100,resnet50,layer1.0,100.0,6422528,3211264,3211264,50.0,3.3877,1.682,1.7057,515.8022,258.9011,256.9011,519.1899,260.5831,258.6068,49.81
imagenet100,resnet50,layer1.1,1.0,6422528,3211264,3211264,50.0,3.3745,1.6767,1.6977,51382.224,25692.112,25690.112,51385.5985,25693.7887,25691.8097,50.0
imagenet100,resnet50,layer1.1,10.0,6422528,3211264,3211264,50.0,3.3745,1.6767,1.6977,5140.0224,2571.0112,2569.0112,5143.3969,2572.6879,2570.7089,49.98
imagenet100,resnet50,layer1.1,100.0,6422528,3211264,3211264,50.0,3.3745,1.6767,1.6977,515.8022,258.9011,256.9011,519.1767,260.5779,258.5988,49.81
imagenet100,resnet50,layer1.2,1.0,6422528,3211264,3211264,50.0,3.272,1.6338,1.6382,51382.224,25692.112,25690.112,51385.496,25693.7458,25691.7502,50.0
imagenet100,resnet50,layer1.2,10.0,6422528,3211264,3211264,50.0,3.272,1.6338,1.6382,5140.0224,2571.0112,2569.0112,5143.2944,2572.645,2570.6494,49.98
imagenet100,resnet50,layer1.2,100.0,6422528,3211264,3211264,50.0,3.272,1.6338,1.6382,515.8022,258.9011,256.9011,519.0742,260.5349,258.5393,49.81
imagenet100,resnet50,layer2.0,1.0,3211264,1605632,1605632,50.0,1.7627,0.8912,0.8715,25692.112,12847.056,12845.056,25693.8747,12847.9472,12845.9275,50.0
imagenet100,resnet50,layer2.0,10.0,3211264,1605632,1605632,50.0,1.7627,0.8912,0.8715,2571.0112,1286.5056,1284.5056,2572.7739,1287.3968,1285.3771,49.96
imagenet100,resnet50,layer2.0,100.0,3211264,1605632,1605632,50.0,1.7627,0.8912,0.8715,258.9011,130.4506,128.4506,260.6639,131.3417,129.3221,49.61
imagenet100,resnet50,layer2.1,1.0,3211264,1605632,1605632,50.0,1.7387,0.87,0.8687,25692.112,12847.056,12845.056,25693.8507,12847.926,12845.9247,50.0
imagenet100,resnet50,layer2.1,10.0,3211264,1605632,1605632,50.0,1.7387,0.87,0.8687,2571.0112,1286.5056,1284.5056,2572.7499,1287.3756,1285.3743,49.96
imagenet100,resnet50,layer2.1,100.0,3211264,1605632,1605632,50.0,1.7387,0.87,0.8687,258.9011,130.4506,128.4506,260.6398,131.3206,129.3192,49.62
imagenet100,resnet50,layer2.2,1.0,3211264,1605632,1605632,50.0,1.7383,0.8714,0.8669,25692.112,12847.056,12845.056,25693.8503,12847.9274,12845.9229,50.0
imagenet100,resnet50,layer2.2,10.0,3211264,1605632,1605632,50.0,1.7383,0.8714,0.8669,2571.0112,1286.5056,1284.5056,2572.7495,1287.377,1285.3725,49.96
imagenet100,resnet50,layer2.2,100.0,3211264,1605632,1605632,50.0,1.7383,0.8714,0.8669,258.9011,130.4506,128.4506,260.6394,131.322,129.3174,49.62
imagenet100,resnet50,layer2.3,1.0,3211264,1605632,1605632,50.0,1.7409,0.8716,0.8693,25692.112,12847.056,12845.056,25693.8529,12847.9276,12845.9253,50.0
imagenet100,resnet50,layer2.3,10.0,3211264,1605632,1605632,50.0,1.7409,0.8716,0.8693,2571.0112,1286.5056,1284.5056,2572.7521,1287.3772,1285.3749,49.96
imagenet100,resnet50,layer2.3,100.0,3211264,1605632,1605632,50.0,1.7409,0.8716,0.8693,258.9011,130.4506,128.4506,260.642,131.3221,129.3198,49.62
