dataset,model,block,bandwidth_mbps,dag_bytes,chain_bytes,saved_bytes,size_saved_pct,dag_serialize_ms,chain_serialize_ms,saved_serialize_ms,dag_transfer_ms,chain_transfer_ms,saved_transfer_ms,dag_total_ms,chain_total_ms,saved_total_ms,total_saved_pct
imagenet100,resnet50,layer1.0,1.0,6422528,3211264,3211264,50.0,3.456,1.7122,1.7438,51382.224,25692.112,25690.112,51385.68,25693.8242,25691.8558,50.0
imagenet100,resnet50,layer1.0,10.0,6422528,3211264,3211264,50.0,3.456,1.7122,1.7438,5140.0224,2571.0112,2569.0112,5143.4784,2572.7234,2570.755,49.98
imagenet100,resnet50,layer1.0,100.0,6422528,3211264,3211264,50.0,3.456,1.7122,1.7438,515.8022,258.9011,256.9011,519.2582,260.6133,258.6449,49.81
imagenet100,resnet50,layer1.1,1.0,6422528,3211264,3211264,50.0,3.4213,1.6243,1.797,51382.224,25692.112,25690.112,51385.6453,25693.7363,25691.909,50.0
imagenet100,resnet50,layer1.1,10.0,6422528,3211264,3211264,50.0,3.4213,1.6243,1.797,5140.0224,2571.0112,2569.0112,5143.4437,2572.6355,2570.8082,49.98
imagenet100,resnet50,layer1.1,100.0,6422528,3211264,3211264,50.0,3.4213,1.6243,1.797,515.8022,258.9011,256.9011,519.2236,260.5254,258.6982,49.82
imagenet100,resnet50,layer1.2,1.0,6422528,3211264,3211264,50.0,3.4174,1.6262,1.7912,51382.224,25692.112,25690.112,51385.6414,25693.7382,25691.9032,50.0
imagenet100,resnet50,layer1.2,10.0,6422528,3211264,3211264,50.0,3.4174,1.6262,1.7912,5140.0224,2571.0112,2569.0112,5143.4398,2572.6374,2570.8024,49.98
imagenet100,resnet50,layer1.2,100.0,6422528,3211264,3211264,50.0,3.4174,1.6262,1.7912,515.8022,258.9011,256.9011,519.2197,260.5274,258.6923,49.82
imagenet100,resnet50,layer2.0,1.0,3211264,1605632,1605632,50.0,1.7343,0.8648,0.8695,25692.112,12847.056,12845.056,25693.8463,12847.9208,12845.9255,50.0
imagenet100,resnet50,layer2.0,10.0,3211264,1605632,1605632,50.0,1.7343,0.8648,0.8695,2571.0112,1286.5056,1284.5056,2572.7455,1287.3704,1285.3751,49.96
imagenet100,resnet50,layer2.0,100.0,3211264,1605632,1605632,50.0,1.7343,0.8648,0.8695,258.9011,130.4506,128.4506,260.6354,131.3153,129.3201,49.62
imagenet100,resnet50,layer2.1,1.0,3211264,1605632,1605632,50.0,1.808,0.8697,0.9383,25692.112,12847.056,12845.056,25693.92,12847.9257,12845.9943,50.0
imagenet100,resnet50,layer2.1,10.0,3211264,1605632,1605632,50.0,1.808,0.8697,0.9383,2571.0112,1286.5056,1284.5056,2572.8192,1287.3753,1285.4439,49.96
imagenet100,resnet50,layer2.1,100.0,3211264,1605632,1605632,50.0,1.808,0.8697,0.9383,258.9011,130.4506,128.4506,260.7091,131.3202,129.3888,49.63
imagenet100,resnet50,layer2.2,1.0,3211264,1605632,1605632,50.0,1.7403,0.8635,0.8768,25692.112,12847.056,12845.056,25693.8523,12847.9195,12845.9328,50.0
imagenet100,resnet50,layer2.2,10.0,3211264,1605632,1605632,50.0,1.7403,0.8635,0.8768,2571.0112,1286.5056,1284.5056,2572.7515,1287.3691,1285.3824,49.96
imagenet100,resnet50,layer2.2,100.0,3211264,1605632,1605632,50.0,1.7403,0.8635,0.8768,258.9011,130.4506,128.4506,260.6414,131.314,129.3274,49.62
imagenet100,resnet50,layer2.3,1.0,3211264,1605632,1605632,50.0,1.7573,0.868,0.8894,25692.112,12847.056,12845.056,25693.8693,12847.924,12845.9454,50.0
imagenet100,resnet50,layer2.3,10.0,3211264,1605632,1605632,50.0,1.7573,0.868,0.8894,2571.0112,1286.5056,1284.5056,2572.7685,1287.3736,1285.395,49.96
imagenet100,resnet50,layer2.3,100.0,3211264,1605632,1605632,50.0,1.7573,0.868,0.8894,258.9011,130.4506,128.4506,260.6584,131.3185,129.3399,49.62
imagenet100,resnet50,layer3.0,1.0,1605632,802816,802816,50.0,0.9482,0.4784,0.4699,12847.056,6424.528,6422.528,12848.0042,6425.0064,6422.9979,49.99
imagenet100,resnet50,layer3.0,10.0,1605632,802816,802816,50.0,0.9482,0.4784,0.4699,1286.5056,644.2528,642.2528,1287.4538,644.7312,642.7227,49.92
imagenet100,resnet50,layer3.0,100.0,1605632,802816,802816,50.0,0.9482,0.4784,0.4699,130.4506,66.2253,64.2253,131.3988,66.7036,64.6951,49.24
