model,dataset,compensator,rank,calib_size,epochs,final_calib_loss,top1,top5,loss,latency_ms,latency_std_ms,peak_memory_mb,macs,params
resnet50,imagenet,full_residual,0,0,0,0.0,80.122,95.24,1.418019,72.5174,7.6039,779.67,4087138304,25557032
resnet50,imagenet,plain,0,0,0,0.0,0.206,0.746,7.323977,96.2042,25.2916,880.39,4087138304,25557032
resnet50,imagenet,linear1x1,0,8192,10,1.221093,0.77,2.284,6.834864,72.7578,2.9376,1065.06,4292659200,45691688
resnet50,imagenet,low_rank_r8,8,8192,10,1.340595,0.602,1.858,6.866781,70.4511,3.9302,991.2,4093560832,25798696
resnet50,imagenet,low_rank_r16,16,8192,10,1.300926,0.68,2.008,6.849266,72.1475,10.082,990.15,4099983360,26040360
resnet50,imagenet,low_rank_r32,32,8192,10,1.152401,50.198,75.818,3.378277,95.866,25.6439,994.81,4112828416,26523688
resnet50,imagenet,adapter,16,8192,10,1.317465,0.986,2.992,6.832416,97.3964,26.3979,989.72,4099983360,26055720
