model,dataset,compensator,rank,calib_size,epochs,final_calib_loss,top1,top5,loss,latency_ms,latency_std_ms,peak_memory_mb,macs,params
resnet50,imagenet,full_residual,0,0,0,0.0,80.122,95.24,1.418019,57.0512,0.1337,779.67,4087138304,25557032
resnet50,imagenet,plain,0,0,0,0.0,40.73,64.95,6.057,56.8797,0.0901,880.39,4087138304,25557032
resnet50,imagenet,scalar,0,4096,10,0.400088,40.952,65.264,5.627987,56.9172,0.0802,987.13,4087138304,25557048
resnet50,imagenet,affine,0,4096,10,0.374806,44.738,71.52,5.498403,56.9915,0.1044,987.75,4087138304,25587240
resnet50,imagenet,linear1x1,0,4096,10,0.26625,69.534,91.708,3.294316,59.2199,0.1073,1081.62,4292659200,45691688
resnet50,imagenet,low_rank_r4,4,4096,10,0.34988,49.798,77.15,4.973756,59.6672,7.1975,989.21,4087941120,25677864
resnet50,imagenet,low_rank_r8,8,4096,10,0.337157,52.472,79.964,4.857591,58.6311,3.4514,988.17,4088743936,25798696
resnet50,imagenet,low_rank_r16,16,4096,10,0.321569,55.536,82.778,4.603783,57.1563,0.1078,990.22,4090349568,26040360
resnet50,imagenet,low_rank_r32,32,4096,10,0.299834,61.69,87.292,3.906107,57.3832,0.1424,992.5,4093560832,26523688
resnet50,imagenet,adapter,16,4096,10,0.332259,53.552,81.37,4.766793,58.7637,3.7631,991.1,4090349568,26055720
