model,dataset,compensator,rank,calib_size,epochs,final_calib_loss,top1,top5,loss,latency_ms,latency_std_ms,peak_memory_mb,macs,params
resnet50,cifar10,full_residual,0,0,0,0.0,11.03,49.41,2.593861,41.3755,5.8804,0.01,83412992,23528522
resnet50,cifar10,plain,0,0,0,0.0,11.08,51.38,2.308005,38.1984,1.3527,0.01,83412992,23528522
resnet50,cifar10,scalar,0,1024,3,1.481765,11.07,51.36,2.309727,44.5696,0.3657,0.01,83412992,23528538
resnet50,cifar10,affine,0,1024,3,1.483436,11.12,51.29,2.309608,43.815,0.2808,0.01,83412992,23558730
resnet50,cifar10,linear1x1,0,1024,3,1.46294,10.98,52.62,2.357733,56.9959,0.3654,0.01,87607296,43663178
resnet50,cifar10,low_rank_r4,4,1024,3,1.870068,13.27,54.78,2.298011,44.7328,0.1782,0.01,83429376,23649354
resnet50,cifar10,low_rank_r8,8,1024,3,1.858227,10.32,48.9,2.339156,40.1962,1.8931,0.01,83445760,23770186
resnet50,cifar10,low_rank_r16,16,1024,3,1.808179,14.8,54.43,2.323337,44.1809,1.1393,0.01,83478528,24011850
resnet50,cifar10,low_rank_r32,32,1024,3,1.689086,12.24,51.77,2.374418,45.3075,0.8091,0.01,83544064,24495178
resnet50,cifar10,adapter,16,1024,3,1.819461,10.0,48.55,2.346001,49.101,10.5708,0.01,83478528,24027210
