model,dataset,compensator,rank,calib_size,epochs,final_calib_loss,top1,top5,loss,latency_ms,latency_std_ms,peak_memory_mb,macs,params
resnet50,imagenet,full_residual,0,0,0,0.0,80.122,95.24,1.418019,57.1678,0.1394,779.67,4087138304,25557032
resnet50,imagenet,plain,0,0,0,0.0,0.468,1.642,8.19382,56.438,0.1952,880.39,4087138304,25557032
resnet50,imagenet,scalar,0,4096,10,7.756686,0.37,1.342,8.724524,56.8571,0.1062,987.25,4087138304,25557048
resnet50,imagenet,affine,0,4096,10,1.650619,0.1,0.79,7.47507,60.7467,10.1221,1186.74,4087138304,25587240
resnet50,imagenet,linear1x1,0,4096,10,0.432266,72.762,91.34,1.718131,59.4682,0.0868,1259.31,4292659200,45691688
resnet50,imagenet,low_rank_r4,4,4096,10,0.605656,68.826,89.104,1.873705,60.1023,7.5345,1185.84,4093560832,25677864
resnet50,imagenet,low_rank_r8,8,4096,10,0.500663,70.53,90.176,1.808283,59.0908,3.1595,1187.37,4099983360,25798696
resnet50,imagenet,low_rank_r16,16,4096,10,0.42235,71.584,90.872,1.761268,58.8756,3.9099,1186.0,4112828416,26040360
resnet50,imagenet,low_rank_r32,32,4096,10,0.36947,73.614,91.856,1.68643,61.3043,9.797,1189.75,4138518528,26523688
resnet50,imagenet,adapter,16,4096,10,0.462361,71.124,90.474,1.787219,58.3762,0.1184,1186.56,4112828416,26055720
