model,dataset,compensator,rank,calib_size,epochs,final_calib_loss,top1,top5,loss,latency_ms,latency_std_ms,peak_memory_mb,macs,params
resnet50,imagenet,full_residual,0,0,0,0.0,80.122,95.24,1.418019,69.3813,2.4588,779.67,4087138304,25557032
resnet50,imagenet,plain,0,0,0,0.0,74.958,92.614,1.869577,71.1307,8.6792,880.39,4087138304,25557032
resnet50,imagenet,linear1x1,0,4196,10,0.32564,79.082,94.614,1.541426,98.217,27.4645,1080.06,4292659200,45691688
resnet50,imagenet,low_rank_r8,8,4196,10,0.418764,78.182,94.244,1.710377,76.5764,12.8217,989.29,4088743936,25798696
resnet50,imagenet,low_rank_r16,16,4196,10,0.393888,78.53,94.378,1.666468,96.7775,25.1204,989.34,4090349568,26040360
resnet50,imagenet,low_rank_r32,32,4196,10,0.370532,78.65,94.424,1.618032,96.3323,26.1079,992.18,4093560832,26523688
resnet50,imagenet,adapter,16,4196,10,0.392087,78.622,94.422,1.658015,97.4106,24.9314,990.04,4090349568,26055720
