dataset,model,batch_size,mode,removed_count,removed_blocks,latency_ms,saved_latency_ms,speedup,acc_top1,top1_drop
imagenet100,resnet50,512,full,0,,220.1575,0.0,1.0,96.586,0.0
imagenet100,resnet50,512,plain,1,layer4.2,219.881,0.2765,1.0013,87.3387,9.2473
imagenet100,resnet50,512,plain,2,"layer4.1,layer4.2",219.2407,0.9168,1.0042,59.1941,37.392
imagenet100,resnet50,512,plain,3,"layer4.0,layer4.1,layer4.2",215.8359,4.3216,1.02,64.1631,32.4229
imagenet100,resnet50,512,plain,4,"layer3.5,layer4.0,layer4.1,layer4.2",214.4813,5.6762,1.0265,2.4312,94.1548
imagenet100,resnet50,512,plain,5,"layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",213.1528,7.0047,1.0329,0.9946,95.5914
imagenet100,resnet50,512,plain,6,"layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",211.7924,8.3651,1.0395,1.1761,95.4099
imagenet100,resnet50,512,plain,7,"layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",210.5328,9.6247,1.0457,1.0775,95.5085
imagenet100,resnet50,512,plain,8,"layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",209.1347,11.0228,1.0527,1.038,95.548
imagenet100,resnet50,512,plain,9,"layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",203.9335,16.224,1.0796,1.038,95.548
imagenet100,resnet50,512,plain,10,"layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",201.2743,18.8831,1.0938,1.038,95.548
imagenet100,resnet50,512,plain,11,"layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",198.5692,21.5883,1.1087,1.038,95.548
imagenet100,resnet50,512,plain,12,"layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",195.94,24.2175,1.1236,1.038,95.548
imagenet100,resnet50,512,plain,13,"layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",186.5285,33.629,1.1803,1.038,95.548
imagenet100,resnet50,512,plain,14,"layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",181.2131,38.9444,1.2149,1.038,95.548
imagenet100,resnet50,512,plain,15,"layer1.1,layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",175.927,44.2305,1.2514,1.038,95.548
imagenet100,resnet50,512,plain,16,"layer1.0,layer1.1,layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",164.7926,55.3649,1.336,1.1169,95.4691
