dataset,model,batch_size,mode,removed_count,removed_blocks,peak_mb,saved_memory_mb,saved_memory_pct,latency_ms,saved_latency_ms,speedup
imagenet100,resnet50,128,full,0,,1439.19,0.0,0.0,54.3819,0.0,1.0
imagenet100,resnet50,128,plain,1,layer4.2,1447.32,-1,-1,54.197,0.1849,1.0034
imagenet100,resnet50,128,plain,2,"layer4.1,layer4.2",1447.32,-1,-1,54.0862,0.2957,1.0055
imagenet100,resnet50,128,plain,3,"layer4.0,layer4.1,layer4.2",1447.32,-1,-1,53.2222,1.1597,1.0218
imagenet100,resnet50,128,plain,4,"layer3.5,layer4.0,layer4.1,layer4.2",1447.32,-1,-1,52.9004,1.4816,1.028
imagenet100,resnet50,128,plain,5,"layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1447.32,-1,-1,52.5646,1.8173,1.0346
imagenet100,resnet50,128,plain,6,"layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1447.32,-1,-1,52.2223,2.1596,1.0414
imagenet100,resnet50,128,plain,7,"layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1447.32,-1,-1,51.9022,2.4797,1.0478
imagenet100,resnet50,128,plain,8,"layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1447.32,-1,-1,51.5692,2.8127,1.0545
imagenet100,resnet50,128,plain,9,"layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1447.32,-1,-1,50.2516,4.1303,1.0822
imagenet100,resnet50,128,plain,10,"layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1447.32,-1,-1,49.5741,4.8078,1.097
imagenet100,resnet50,128,plain,11,"layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1447.32,-1,-1,48.9306,5.4514,1.1114
imagenet100,resnet50,128,plain,12,"layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1447.32,-1,-1,48.2803,6.1017,1.1264
imagenet100,resnet50,128,plain,13,"layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1446.82,-1,-1,45.9078,8.4741,1.1846
imagenet100,resnet50,128,plain,14,"layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1446.82,-1,-1,44.5799,9.802,1.2199
imagenet100,resnet50,128,plain,15,"layer1.1,layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1446.82,-1,-1,43.2543,11.1277,1.2573
imagenet100,resnet50,128,plain,16,"layer1.0,layer1.1,layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1446.82,-1,-1,40.4596,13.9224,1.3441
