dataset,model,batch_size,mode,removed_count,removed_blocks,peak_mb,saved_memory_mb,saved_memory_pct,latency_ms,saved_latency_ms,speedup
imagenet100,resnet50,32,full,0,,436.19,0.0,0.0,11.9555,0.0,1.0
imagenet100,resnet50,32,plain,1,layer4.2,436.19,0.0,0.0,11.8387,0.1168,1.0099
imagenet100,resnet50,32,plain,2,"layer4.1,layer4.2",436.19,0.0,0.0,11.8522,0.1032,1.0087
imagenet100,resnet50,32,plain,3,"layer4.0,layer4.1,layer4.2",436.19,0.0,0.0,11.5859,0.3696,1.0319
imagenet100,resnet50,32,plain,4,"layer3.5,layer4.0,layer4.1,layer4.2",436.19,0.0,0.0,11.5504,0.4051,1.0351
imagenet100,resnet50,32,plain,5,"layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",436.19,0.0,0.0,11.5434,0.4121,1.0357
imagenet100,resnet50,32,plain,6,"layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",436.19,0.0,0.0,11.4813,0.4742,1.0413
imagenet100,resnet50,32,plain,7,"layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",436.19,0.0,0.0,11.4425,0.513,1.0448
imagenet100,resnet50,32,plain,8,"layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",436.19,0.0,0.0,11.4113,0.5442,1.0477
imagenet100,resnet50,32,plain,9,"layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",436.19,0.0,0.0,11.1041,0.8514,1.0767
imagenet100,resnet50,32,plain,10,"layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",436.19,0.0,0.0,10.9594,0.9961,1.0909
imagenet100,resnet50,32,plain,11,"layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",436.19,0.0,0.0,10.8217,1.1337,1.1048
imagenet100,resnet50,32,plain,12,"layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",436.19,0.0,0.0,10.6915,1.2639,1.1182
imagenet100,resnet50,32,plain,13,"layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",435.69,0.5,0.11,10.1145,1.8409,1.182
imagenet100,resnet50,32,plain,14,"layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",435.69,0.5,0.11,9.7881,2.1674,1.2214
imagenet100,resnet50,32,plain,15,"layer1.1,layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",435.69,0.5,0.11,9.4565,2.499,1.2643
imagenet100,resnet50,32,plain,16,"layer1.0,layer1.1,layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",435.69,0.5,0.11,8.7537,3.2018,1.3658
