dataset,model,batch_size,mode,removed_count,removed_blocks,latency_ms,saved_latency_ms,speedup,acc_top1,top1_drop
imagenet100,resnet50,128,full,0,,54.4651,0.0,1.0,96.586,0.0
imagenet100,resnet50,128,plain,1,layer4.2,54.3952,0.0699,1.0013,87.3584,9.2276
imagenet100,resnet50,128,plain,2,"layer4.1,layer4.2",54.3032,0.1619,1.003,59.202,37.3841
imagenet100,resnet50,128,plain,3,"layer4.0,layer4.1,layer4.2",53.444,1.0211,1.0191,64.1591,32.4269
imagenet100,resnet50,128,plain,4,"layer3.5,layer4.0,layer4.1,layer4.2",53.043,1.4221,1.0268,2.4312,94.1548
imagenet100,resnet50,128,plain,5,"layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",52.6734,1.7917,1.034,0.9906,95.5954
imagenet100,resnet50,128,plain,6,"layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",52.3757,2.0893,1.0399,1.1761,95.4099
imagenet100,resnet50,128,plain,7,"layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",52.0292,2.4358,1.0468,1.0814,95.5046
imagenet100,resnet50,128,plain,8,"layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",51.7829,2.6822,1.0518,1.038,95.548
imagenet100,resnet50,128,plain,9,"layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",50.3754,4.0896,1.0812,1.038,95.548
imagenet100,resnet50,128,plain,10,"layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",49.735,4.7301,1.0951,1.038,95.548
imagenet100,resnet50,128,plain,11,"layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",49.0531,5.412,1.1103,1.038,95.548
imagenet100,resnet50,128,plain,12,"layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",48.3937,6.0714,1.1255,1.038,95.548
imagenet100,resnet50,128,plain,13,"layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",46.0418,8.4232,1.1829,1.038,95.548
imagenet100,resnet50,128,plain,14,"layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",44.6812,9.7839,1.219,1.038,95.548
imagenet100,resnet50,128,plain,15,"layer1.1,layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",43.4014,11.0636,1.2549,1.038,95.548
imagenet100,resnet50,128,plain,16,"layer1.0,layer1.1,layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",40.5781,13.8869,1.3422,1.113,95.473
