dataset,model,batch_size,mode,removed_count,removed_blocks,peak_mb,saved_memory_mb,saved_memory_pct,latency_ms,saved_latency_ms,speedup
imagenet100,resnet50,128,plain,1,layer4.2,1447.32,-1,-1,54.2846,0.1697,1.0031
imagenet100,resnet50,128,plain,2,"layer4.1,layer4.2",1447.32,-1,-1,54.1132,0.3411,1.0063
imagenet100,resnet50,128,plain,3,"layer4.0,layer4.1,layer4.2",1447.32,-1,-1,53.283,1.1713,1.022
imagenet100,resnet50,128,plain,4,"layer3.5,layer4.0,layer4.1,layer4.2",1447.32,-1,-1,52.9576,1.4967,1.0283
imagenet100,resnet50,128,plain,5,"layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1447.32,-1,-1,52.6267,1.8276,1.0347
imagenet100,resnet50,128,plain,6,"layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1447.32,-1,-1,52.2685,2.1858,1.0418
imagenet100,resnet50,128,plain,7,"layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1447.32,-1,-1,51.9353,2.519,1.0485
imagenet100,resnet50,128,plain,8,"layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1447.32,-1,-1,51.593,2.8613,1.0555
imagenet100,resnet50,128,plain,9,"layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1447.32,-1,-1,50.2646,4.1897,1.0834
imagenet100,resnet50,128,plain,10,"layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1447.32,-1,-1,49.6087,4.8456,1.0977
imagenet100,resnet50,128,plain,11,"layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1447.32,-1,-1,48.9483,5.506,1.1125
imagenet100,resnet50,128,plain,12,"layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1447.32,-1,-1,48.2963,6.158,1.1275
imagenet100,resnet50,128,plain,13,"layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1446.82,-1,-1,45.9655,8.4888,1.1847
imagenet100,resnet50,128,plain,14,"layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1446.82,-1,-1,44.6204,9.8339,1.2204
imagenet100,resnet50,128,plain,15,"layer1.1,layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1446.82,-1,-1,43.3166,11.1377,1.2571
imagenet100,resnet50,128,plain,16,"layer1.0,layer1.1,layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",1446.82,-1,-1,40.5352,13.9191,1.3434
