dataset,model,batch_size,mode,removed_count,removed_blocks,peak_mb,saved_memory_mb,saved_memory_pct,latency_ms,saved_latency_ms,speedup
imagenet,resnet50,64,full,0,,779.67,0.0,0.0,57.0761,0.0,1.0
imagenet,resnet50,64,plain,1,layer4.2,779.67,0.0,0.0,56.9403,0.1357,1.0024
imagenet,resnet50,64,plain,2,"layer4.1,layer4.2",779.67,0.0,0.0,56.8525,0.2236,1.0039
imagenet,resnet50,64,plain,3,"layer4.0,layer4.1,layer4.2",779.67,0.0,0.0,56.7548,0.3213,1.0057
imagenet,resnet50,64,plain,4,"layer3.5,layer4.0,layer4.1,layer4.2",779.67,0.0,0.0,56.5964,0.4796,1.0085
imagenet,resnet50,64,plain,5,"layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",779.67,0.0,0.0,56.3546,0.7214,1.0128
imagenet,resnet50,64,plain,6,"layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",779.67,0.0,0.0,56.2111,0.8649,1.0154
imagenet,resnet50,64,plain,7,"layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",779.67,0.0,0.0,55.9903,1.0857,1.0194
imagenet,resnet50,64,plain,8,"layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",779.67,0.0,0.0,55.9458,1.1303,1.0202
imagenet,resnet50,64,plain,9,"layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",779.67,0.0,0.0,55.6542,1.4219,1.0255
imagenet,resnet50,64,plain,10,"layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",779.67,0.0,0.0,55.2497,1.8263,1.0331
imagenet,resnet50,64,plain,11,"layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",779.67,0.0,0.0,54.9023,2.1738,1.0396
imagenet,resnet50,64,plain,12,"layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",779.67,0.0,0.0,54.5506,2.5254,1.0463
imagenet,resnet50,64,plain,13,"layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",779.67,0.0,0.0,54.1387,2.9374,1.0543
imagenet,resnet50,64,plain,14,"layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",779.67,0.0,0.0,53.3797,3.6964,1.0692
imagenet,resnet50,64,plain,15,"layer1.1,layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",779.67,0.0,0.0,52.6803,4.3958,1.0834
imagenet,resnet50,64,plain,16,"layer1.0,layer1.1,layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",779.67,0.0,0.0,51.8827,5.1933,1.1001
