dataset,model,batch_size,mode,removed_count,removed_blocks,peak_mb,saved_memory_mb,saved_memory_pct,latency_ms,saved_latency_ms,speedup
imagenet,resnet50,64,full,0,,779.67,0.0,0.0,70.0964,0.0,1.0
imagenet,resnet50,64,plain,1,layer4.2,779.67,0.0,0.0,77.0915,-6.9951,0.9093
imagenet,resnet50,64,plain,2,"layer4.1,layer4.2",779.67,0.0,0.0,63.676,6.4205,1.1008
imagenet,resnet50,64,plain,3,"layer4.0,layer4.1,layer4.2",779.67,0.0,0.0,90.4099,-20.3135,0.7753
imagenet,resnet50,64,plain,4,"layer3.5,layer4.0,layer4.1,layer4.2",779.67,0.0,0.0,59.4739,10.6225,1.1786
imagenet,resnet50,64,plain,5,"layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",779.67,0.0,0.0,74.8198,-4.7234,0.9369
imagenet,resnet50,64,plain,6,"layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",779.67,0.0,0.0,68.3334,1.7631,1.0258
imagenet,resnet50,64,plain,7,"layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",779.67,0.0,0.0,62.0695,8.0269,1.1293
imagenet,resnet50,64,plain,8,"layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",779.67,0.0,0.0,89.6224,-19.5259,0.7821
imagenet,resnet50,64,plain,9,"layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",779.67,0.0,0.0,56.7391,13.3573,1.2354
imagenet,resnet50,64,plain,10,"layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",779.67,0.0,0.0,72.1838,-2.0873,0.9711
imagenet,resnet50,64,plain,11,"layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",779.67,0.0,0.0,66.0494,4.047,1.0613
imagenet,resnet50,64,plain,12,"layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",779.67,0.0,0.0,58.6315,11.465,1.1955
imagenet,resnet50,64,plain,13,"layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",779.67,0.0,0.0,84.3567,-14.2602,0.831
imagenet,resnet50,64,plain,14,"layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",779.67,0.0,0.0,55.7258,14.3706,1.2579
imagenet,resnet50,64,plain,15,"layer1.1,layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",779.67,0.0,0.0,59.6488,10.4476,1.1752
imagenet,resnet50,64,plain,16,"layer1.0,layer1.1,layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",779.67,0.0,0.0,75.5982,-5.5017,0.9272
