dataset,model,batch_size,mode,removed_count,removed_blocks,peak_mb,saved_memory_mb,saved_memory_pct,latency_ms,saved_latency_ms,speedup
imagenet,resnet50,16,full,0,,277.35,0.0,0.0,16.5785,0.0,1.0
imagenet,resnet50,16,plain,1,layer4.2,277.35,0.0,0.0,16.1127,0.4658,1.0289
imagenet,resnet50,16,plain,2,"layer4.1,layer4.2",277.35,0.0,0.0,16.0838,0.4948,1.0308
imagenet,resnet50,16,plain,3,"layer4.0,layer4.1,layer4.2",277.35,0.0,0.0,16.0683,0.5102,1.0318
imagenet,resnet50,16,plain,4,"layer3.5,layer4.0,layer4.1,layer4.2",277.35,0.0,0.0,16.0638,0.5148,1.032
imagenet,resnet50,16,plain,5,"layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",277.35,0.0,0.0,15.9658,0.6127,1.0384
imagenet,resnet50,16,plain,6,"layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",277.35,0.0,0.0,15.916,0.6625,1.0416
imagenet,resnet50,16,plain,7,"layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",277.35,0.0,0.0,15.8729,0.7056,1.0445
imagenet,resnet50,16,plain,8,"layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",277.35,0.0,0.0,15.8175,0.761,1.0481
imagenet,resnet50,16,plain,9,"layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",277.35,0.0,0.0,15.7851,0.7934,1.0503
imagenet,resnet50,16,plain,10,"layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",277.35,0.0,0.0,15.6734,0.9052,1.0578
imagenet,resnet50,16,plain,11,"layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",277.35,0.0,0.0,15.5736,1.0049,1.0645
imagenet,resnet50,16,plain,12,"layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",277.35,0.0,0.0,15.4738,1.1047,1.0714
imagenet,resnet50,16,plain,13,"layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",277.35,0.0,0.0,15.3727,1.2058,1.0784
imagenet,resnet50,16,plain,14,"layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",277.35,0.0,0.0,15.1861,1.3924,1.0917
imagenet,resnet50,16,plain,15,"layer1.1,layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",277.35,0.0,0.0,14.9992,1.5793,1.1053
imagenet,resnet50,16,plain,16,"layer1.0,layer1.1,layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",277.35,0.0,0.0,14.8103,1.7682,1.1194
