dataset_source,model,topology,split_point,bandwidth_mbps,edge_ms,transfer_ms,cloud_ms,total_ms,payload_bytes
synthetic,resnet18,full_residual,layer3.0,1.0,25.16949991695583,1107.528,15.119299991056323,1147.8167999080122,138316.0
synthetic,resnet18,chain_plain,layer3.0,1.0,10.196999995969236,1152.968,9.813599986955523,1172.9785999829248,143996.0
synthetic,resnet18,full_residual,layer3.0,10.0,10.973699972964823,111.6528,8.528500096872449,131.15500006983729,138316.0
synthetic,resnet18,chain_plain,layer3.0,10.0,9.140999987721443,116.1968,10.497599956579506,135.83539994430095,143996.0
synthetic,resnet18,full_residual,layer3.0,100.0,9.035199997015297,12.06528,7.533399970270693,28.633879967285992,138316.0
synthetic,resnet18,chain_plain,layer3.0,100.0,9.308699984103441,12.51968,10.07630000822246,31.904679992325903,143996.0
