dataset,model,block,bandwidth_mbps,dag_bytes,chain_bytes,saved_bytes,size_saved_pct,dag_serialize_ms,chain_serialize_ms,saved_serialize_ms,dag_transfer_ms,chain_transfer_ms,saved_transfer_ms,dag_total_ms,chain_total_ms,saved_total_ms,total_saved_pct
imagenet,resnet50,layer1.0,1.0,6422528,3211264,3211264,50.0,4.2298,1.9754,2.2544,51382.224,25692.112,25690.112,51386.4538,25694.0874,25692.3664,50.0
imagenet,resnet50,layer1.0,10.0,6422528,3211264,3211264,50.0,4.2298,1.9754,2.2544,5140.0224,2571.0112,2569.0112,5144.2522,2572.9866,2571.2656,49.98
imagenet,resnet50,layer1.0,100.0,6422528,3211264,3211264,50.0,4.2298,1.9754,2.2544,515.8022,258.9011,256.9011,520.032,260.8766,259.1555,49.83
imagenet,resnet50,layer1.1,1.0,6422528,3211264,3211264,50.0,3.9493,2.0756,1.8737,51382.224,25692.112,25690.112,51386.1733,25694.1876,25691.9857,50.0
imagenet,resnet50,layer1.1,10.0,6422528,3211264,3211264,50.0,3.9493,2.0756,1.8737,5140.0224,2571.0112,2569.0112,5143.9717,2573.0868,2570.8849,49.98
imagenet,resnet50,layer1.1,100.0,6422528,3211264,3211264,50.0,3.9493,2.0756,1.8737,515.8022,258.9011,256.9011,519.7516,260.9768,258.7748,49.79
imagenet,resnet50,layer1.2,1.0,6422528,3211264,3211264,50.0,4.0657,1.9741,2.0917,51382.224,25692.112,25690.112,51386.2897,25694.0861,25692.2037,50.0
imagenet,resnet50,layer1.2,10.0,6422528,3211264,3211264,50.0,4.0657,1.9741,2.0917,5140.0224,2571.0112,2569.0112,5144.0881,2572.9853,2571.1029,49.98
imagenet,resnet50,layer1.2,100.0,6422528,3211264,3211264,50.0,4.0657,1.9741,2.0917,515.8022,258.9011,256.9011,519.868,260.8752,258.9928,49.82
imagenet,resnet50,layer2.0,1.0,3211264,1605632,1605632,50.0,2.1679,1.0889,1.079,25692.112,12847.056,12845.056,25694.2799,12848.1449,12846.135,50.0
imagenet,resnet50,layer2.0,10.0,3211264,1605632,1605632,50.0,2.1679,1.0889,1.079,2571.0112,1286.5056,1284.5056,2573.1791,1287.5945,1285.5846,49.96
imagenet,resnet50,layer2.0,100.0,3211264,1605632,1605632,50.0,2.1679,1.0889,1.079,258.9011,130.4506,128.4506,261.069,131.5395,129.5296,49.62
imagenet,resnet50,layer2.1,1.0,3211264,1605632,1605632,50.0,2.1744,1.088,1.0864,25692.112,12847.056,12845.056,25694.2864,12848.144,12846.1424,50.0
imagenet,resnet50,layer2.1,10.0,3211264,1605632,1605632,50.0,2.1744,1.088,1.0864,2571.0112,1286.5056,1284.5056,2573.1856,1287.5936,1285.592,49.96
imagenet,resnet50,layer2.1,100.0,3211264,1605632,1605632,50.0,2.1744,1.088,1.0864,258.9011,130.4506,128.4506,261.0755,131.5386,129.5369,49.62
imagenet,resnet50,layer2.2,1.0,3211264,1605632,1605632,50.0,2.1801,1.088,1.092,25692.112,12847.056,12845.056,25694.2921,12848.144,12846.148,50.0
imagenet,resnet50,layer2.2,10.0,3211264,1605632,1605632,50.0,2.1801,1.088,1.092,2571.0112,1286.5056,1284.5056,2573.1913,1287.5936,1285.5976,49.96
imagenet,resnet50,layer2.2,100.0,3211264,1605632,1605632,50.0,2.1801,1.088,1.092,258.9011,130.4506,128.4506,261.0812,131.5386,129.5426,49.62
imagenet,resnet50,layer2.3,1.0,3211264,1605632,1605632,50.0,2.1782,1.0864,1.0917,25692.112,12847.056,12845.056,25694.2902,12848.1424,12846.1477,50.0
imagenet,resnet50,layer2.3,10.0,3211264,1605632,1605632,50.0,2.1782,1.0864,1.0917,2571.0112,1286.5056,1284.5056,2573.1894,1287.592,1285.5973,49.96
imagenet,resnet50,layer2.3,100.0,3211264,1605632,1605632,50.0,2.1782,1.0864,1.0917,258.9011,130.4506,128.4506,261.0793,131.537,129.5423,49.62
imagenet,resnet50,layer3.0,1.0,1605632,802816,802816,50.0,1.098,0.5461,0.5519,12847.056,6424.528,6422.528,12848.154,6425.0741,6423.0799,49.99
imagenet,resnet50,layer3.0,10.0,1605632,802816,802816,50.0,1.098,0.5461,0.5519,1286.5056,644.2528,642.2528,1287.6036,644.7989,642.8047,49.92
imagenet,resnet50,layer3.0,100.0,1605632,802816,802816,50.0,1.098,0.5461,0.5519,130.4506,66.2253,64.2253,131.5485,66.7713,64.7772,49.24
imagenet,resnet50,layer3.1,1.0,1605632,802816,802816,50.0,1.092,0.5456,0.5464,12847.056,6424.528,6422.528,12848.148,6425.0736,6423.0744,49.99
imagenet,resnet50,layer3.1,10.0,1605632,802816,802816,50.0,1.092,0.5456,0.5464,1286.5056,644.2528,642.2528,1287.5976,644.7984,642.7992,49.92
imagenet,resnet50,layer3.1,100.0,1605632,802816,802816,50.0,1.092,0.5456,0.5464,130.4506,66.2253,64.2253,131.5425,66.7709,64.7717,49.24
imagenet,resnet50,layer3.2,1.0,1605632,802816,802816,50.0,1.0916,0.5455,0.5462,12847.056,6424.528,6422.528,12848.1476,6425.0735,6423.0742,49.99
