dataset,model,block,bandwidth_mbps,dag_bytes,chain_bytes,saved_bytes,size_saved_pct,dag_serialize_ms,chain_serialize_ms,saved_serialize_ms,dag_transfer_ms,chain_transfer_ms,saved_transfer_ms,dag_total_ms,chain_total_ms,saved_total_ms,total_saved_pct
imagenet,resnet50,layer3.4,100.0,1605632,802816,802816,50.0,2.3194,1.0885,1.2309,130.4506,66.2253,64.2253,132.77,67.3138,65.4561,49.3
imagenet,resnet50,layer3.5,1.0,1605632,802816,802816,50.0,1.8817,0.5239,1.3578,12847.056,6424.528,6422.528,12848.9377,6425.0519,6423.8858,50.0
imagenet,resnet50,layer3.5,10.0,1605632,802816,802816,50.0,1.8817,0.5239,1.3578,1286.5056,644.2528,642.2528,1288.3873,644.7767,643.6106,49.95
imagenet,resnet50,layer3.5,100.0,1605632,802816,802816,50.0,1.8817,0.5239,1.3578,130.4506,66.2253,64.2253,132.3322,66.7492,65.5831,49.56
imagenet,resnet50,layer4.0,1.0,802816,401408,401408,50.0,0.6724,0.3176,0.3549,6424.528,3213.264,3211.264,6425.2004,3213.5816,3211.6189,49.98
imagenet,resnet50,layer4.0,10.0,802816,401408,401408,50.0,0.6724,0.3176,0.3549,644.2528,323.1264,321.1264,644.9252,323.444,321.4813,49.85
imagenet,resnet50,layer4.0,100.0,802816,401408,401408,50.0,0.6724,0.3176,0.3549,66.2253,34.1126,32.1126,66.8977,34.4302,32.4675,48.53
imagenet,resnet50,layer4.1,1.0,802816,401408,401408,50.0,0.6463,0.3177,0.3286,6424.528,3213.264,3211.264,6425.1743,3213.5817,3211.5926,49.98
imagenet,resnet50,layer4.1,10.0,802816,401408,401408,50.0,0.6463,0.3177,0.3286,644.2528,323.1264,321.1264,644.8991,323.4441,321.455,49.85
imagenet,resnet50,layer4.1,100.0,802816,401408,401408,50.0,0.6463,0.3177,0.3286,66.2253,34.1126,32.1126,66.8716,34.4304,32.4412,48.51
imagenet,resnet50,layer4.2,1.0,802816,401408,401408,50.0,0.6421,0.3174,0.3247,6424.528,3213.264,3211.264,6425.1701,3213.5814,3211.5887,49.98
imagenet,resnet50,layer4.2,10.0,802816,401408,401408,50.0,0.6421,0.3174,0.3247,644.2528,323.1264,321.1264,644.8949,323.4438,321.4511,49.85
imagenet,resnet50,layer4.2,100.0,802816,401408,401408,50.0,0.6421,0.3174,0.3247,66.2253,34.1126,32.1126,66.8674,34.4301,32.4373,48.51
