model,dataset,compensator,rank,calib_size,epochs,final_calib_loss,top1,top5,loss,latency_ms,latency_std_ms,macs,params
resnet50,imagenet100,full_residual,0,0,0,0.0,96.586,99.6566,0.118793,25.6969,0.0625,4087138304,23712932
resnet50,imagenet100,plain,0,0,0,0.0,1.3972,5.2374,5.078711,25.3494,0.0098,4087138304,23712932
resnet50,imagenet100,affine,0,4196,10,41.173497,1.6024,7.0766,6.193381,25.842,0.0266,4087138304,23743140
resnet50,imagenet100,linear1x1,0,4196,10,33.766751,1.2867,6.2044,6.793484,26.3922,0.0365,4292659200,43847588
resnet50,imagenet100,low_rank_r16,16,4196,10,36.661521,1.5274,6.2241,5.863691,25.9289,0.0299,4099983360,24196260
resnet50,imagenet100,adapter,16,4196,10,35.718467,1.0459,6.0662,5.926445,26.1662,0.0195,4099983360,24211620
