model,dataset,compensator,rank,calib_size,epochs,final_calib_loss,top1,top5,loss,latency_ms,latency_std_ms,macs,params
resnet50,imagenet100,full_residual,0,0,0,0.0,96.586,99.6566,0.118793,25.7093,0.0616,4087138304,23712932
resnet50,imagenet100,plain,0,0,0,0.0,1.2788,5.6084,9.439941,25.0391,0.039,4087138304,23712932
resnet50,imagenet100,affine,0,4196,10,42.515707,1.0972,5.3519,9.118271,26.0059,0.0422,4087138304,23743140
resnet50,imagenet100,linear1x1,0,4196,10,36.061684,1.1604,5.6637,6.391747,26.6351,0.0265,4292659200,43847588
resnet50,imagenet100,low_rank_r16,16,4196,10,37.860636,1.0143,5.1782,6.102759,26.2471,0.048,4112828416,24196260
resnet50,imagenet100,adapter,16,4196,10,37.460926,1.3853,5.34,6.764366,26.674,0.0109,4112828416,24211620
